,date,Ed Sheeran,Guns N' Roses,Coldplay,Metallica,Alphabet
216,2019-02-24,8,3,3,11,20
217,2019-03-03,4,3,1,34,17
218,2019-03-10,7,2,1,7,17
219,2019-03-17,7,2,2,10,17
220,2019-03-24,7,2,2,6,18
221,2019-03-31,6,4,2,6,17
222,2019-04-07,5,3,2,6,16
223,2019-04-14,7,3,2,6,16
224,2019-04-21,6,5,2,5,17
225,2019-04-28,7,4,2,5,19
226,2019-05-05,9,3,1,6,18
227,2019-05-12,8,2,1,6,17
228,2019-05-19,8,2,2,5,14
229,2019-05-26,9,2,1,5,12
230,2019-06-02,8,4,1,5,12
231,2019-06-09,7,2,2,5,12
232,2019-06-16,7,8,2,5,16
233,2019-06-23,11,5,2,4,12
234,2019-06-30,14,4,2,4,10
235,2019-07-07,22,4,3,3,13
236,2019-07-14,19,5,2,4,13
237,2019-07-21,11,3,2,6,15
238,2019-07-28,10,4,2,4,14
239,2019-08-04,10,5,2,7,14
240,2019-08-11,9,4,3,5,17
241,2019-08-18,8,3,2,6,22
242,2019-08-25,8,4,2,6,23
243,2019-09-01,10,4,2,5,19
244,2019-09-08,6,3,3,6,22
245,2019-09-15,8,3,3,4,21
246,2019-09-22,8,3,3,8,21
247,2019-09-29,8,4,3,8,17
248,2019-10-06,10,5,1,7,16
249,2019-10-13,6,3,2,6,19
250,2019-10-20,6,4,4,7,22
251,2019-10-27,7,3,3,6,21
252,2019-11-03,7,2,4,6,23
253,2019-11-10,7,3,3,4,18
254,2019-11-17,7,3,6,5,22
255,2019-11-24,8,4,3,8,16
256,2019-12-01,6,2,2,4,20
257,2019-12-08,6,2,2,5,21
258,2019-12-15,4,3,3,7,16
259,2019-12-22,8,4,4,4,12
260,2019-12-29,6,3,3,4,16
